Structured name,Required,Required by,Column number,Definition,Expected value,Value syntax,Example,Default,ERMIN ID
original_inventory_sector,Yes,,1,"General sector, chosen from inventory providing the data. Original climate trace sectors are agriculture, buildings, manufacturing, maritime, mineral_extraction, forestry_and_land_use, oil_and_gas, power, transport, waste, other, but other sectors could be used that are specific to a given inventory, e.g. for EDGAR.",sector,{text},power,,ERMIN:0000001
unfccc_annex_1_category,Yes,,2,"Official name(s) of UNFCCC ANNEX 1 categories covered in this emissions report. If multiple categories included, use comman-separated list. Use the least specific category or categories that describe(s) all of the reported emissions and only the reported emissions. For example, if describing domestic aviation, road transportation, cars, light duty trucks, then enter ""1.A.3.a  Domestic Aviation, 1.A.3.b  Road Transportation, 1.A.3.b.i  Cars, 1.A.3.b.ii  Light Duty Trucks"" (spaces acceptable between items), instead of ""1.A.3  Transport"", which would be too general. However, if reporting for all categories of transport, including ""1.A.3.e Other Transportation"", then report only ""1.A.3 Transport"". (link to be added)",category list,"{unfccc_cat},...","1.A.3.a  Domestic Aviation, 1.A.3.b  Road Transportation, 1.A.3.b.i  Cars, 1.A.3.b.ii  Light Duty Trucks",,ERMIN:0000002
unfccc_annex_1_category_notes,No,,3,Notes/caveats regarding UNFCCC ANNEX 1 category description,notes,{text},Excludes electric vehicles,,ERMIN:0000003
measurement_method_doi_or_url,No,,4,"DOI or, if not available, URL of publication describing methodology for measuring reported emissions.",DOI or URL,[{doi}|{url}],DOI:10.17485/ijst/2016/v9i38/95032,,ERMIN:0000004
producing_entity_name,Yes,,5,"Name of the entity or asset that produced the emissions. For example, for emissions from a ship, the entity would be the ship. Emissions from a power plant would be attributed to that power plant. Countries should be specified using the 3-letter ISO code for that country (https://www.iban.com/country-codes). If not a country, but a geopolitical entity, use ""Preferred Name"" of the geographic entity from the GAZ ontology (v 1.512) (http://purl.bioontology.org/ontology/GAZ). Spatially described emissions, such as those described by an atmospheric observation, would enter NA for not applicable.",preferred name of entity or NA,{text},French Republic,,ERMIN:0000005
producing_entity_id,No,,7,"A unique identifier of the physical entity producing the emissions. For a ship, this would be the IMO Number of the ship; for a farm, unique name and location of the farm; for a city, the name, state, and country of the city; for a corporation, the legal name and country of the corporation; for a power plant, the unique name and location of the power plant. This may be assigned optionally by the reporting entity in such a way that it will be unique, identifiable, and stable over time. This could be used to store a unique identifier that is used internally by the reporting entity. Future versions may include further specifications of how to derive an identifier. For example, use GAZ identifier for a geographic entity from the GAZ ontology (v 1.512) (http://purl.bioontology.org/ontology/GAZ), e.g. GAZ_00002940 for France.",unique identifier,{text},GAZ_00002940,,ERMIN:0000023
producing_entity_id_type,No,,8,"A description of how the field ""producing_entity_id"" was assigned. For example, if using the GAZ ontology, state ""GAZ ontology""; for an internal identifier, state, ""internal identifier""; for an iso3_country code, ""iso3_country""",description,{text},GAZ ontology,,ERMIN:0000024
reporting_entity,Yes,,9,"Name of the person or organization who did the reporting. When possible, use standard abbreviations. Use ""_"" instead of spaces. e.g. climate_trace, EDGAR, CAIT, PIK",company or organization name,{text},EDGAR,,ERMIN:0000007
emitted_product_formula,Yes,,10,"This field provides the chemical formula for the product that was emitted in the reported event. See Definition of ""emitted_product_name""","CO2e, CO2, CH4, N2O, HFC-23_CHF3, HFC-134a_CH2FCF3, HFC-152a_CH3CHF2, CF4, C2F6, C3F8, C4F10, c-C4F8, C5F12, C6F14, SF6, NF3, SF5CF3, C4F9OC2H5, CHF2OCF2OC2F4OCHF2, CHF2OCF2OCHF2, CF3I, CH2Br2, CHCl3, CH3Cl, CH2Cl2, other",[CO2e|CO2|CH4|N2O|HFC-23_CHF3|HFC-134a_CH2FCF3|HFC-152a_CH3CHF2|CF4|C2F6|C3F8|C4F10|c-C4F8|C5F12|C6F14|SF6|NF3|SF5CF3|C4F9OC2H5|CHF2OCF2OC2F4OCHF2|CHF2OCF2OCHF2|CF3I|CH2Br2|CHCl3|CH3Cl|CH2Cl2|other] ,CO2,,ERMIN:0000008
emission_quantity,Yes,,11,"Quanty of product emitted (without units) or NA if known to be not applicable, e.g. a country has no oil and gas. If reported quantity is zero, but some true emissions are expected, enter ""Yes"" for  unfccc_annex_1_category_is_subset, ""0"" for unfccc_annex_1_category_subset_fraction, and describe why in unfccc_annex_1_category_subset_estimation_method.",quantity of GHG emissions,[{float}|NULL],2000,,ERMIN:0000009
